interview,age,gender,education,books_year,tv_week,radio_week
1,20,hombre,licenciatura,5,0,1
2,47,hombre,licenciatura,0,4,10
3,39,hombre,tecnica,1,3,1
4,38,hombre,tecnica,2,0,4
5,47,hombre,especialidad,0,2,3
6,34,hombre,licenciatura,3,20,50
7,33,hombre,bachillerato,2,2,10
8,24,hombre,secundaria,0,7,7
9,25,hombre,secundaria,1,4,0
10,23,hombre,secundaria,1,49,0
11,27,hombre,secundaria,6,21,24
12,39,hombre,bachillerato,2,10,50
13,30,hombre,bachillerato,3,10,5
14,30,hombre,bachillerato,1,2,30
15,21,hombre,licenciatura,2,3,6
16,15,hombre,bachillerato,2,2,5
17,18,hombre,bachillerato,5,6,1
18,19,hombre,bachillerato,3,1,0
19,19,hombre,bachillerato,9,0,2
20,19,hombre,bachillerato,4,15,10
21,21,hombre,bachillerato,4,3,0
22,22,hombre,bachillerato,3,1,5
23,22,hombre,bachillerato,4,0,3
24,27,hombre,licenciatura,2,5,2
25,33,hombre,licenciatura,4,1,1
26,25,hombre,licenciatura,2,8,1
27,17,hombre,secundaria,4,2,0
28,37,hombre,tecnica,7,5,0
29,19,hombre,licenciatura,1,2,0
30,27,hombre,licenciatura,15,5,7
31,19,hombre,licenciatura,9,3,2
32,19,hombre,licenciatura,4,3,21
33,23,hombre,maestria,9,0,3
34,21,hombre,bachillerato,4,4,4
35,23,hombre,bachillerato,2,0,2
36,22,hombre,bachillerato,9,0,15
37,20,hombre,bachillerato,3,1,0
38,22,hombre,bachillerato,4,10,2
39,15,hombre,bachillerato,3,4,0
40,21,hombre,bachillerato,2,2,0
41,19,hombre,bachillerato,9,5,0
42,19,hombre,bachillerato,2,3,0
43,16,hombre,secundaria,8,4,0
44,22,hombre,licenciatura,1,2,0
45,23,hombre,tecnica,2,4,8
46,45,hombre,especialidad,2,2,8
47,31,hombre,licenciatura,10,0,0
48,52,hombre,licenciatura,4,10,1
49,21,hombre,bachillerato,3,4,0
50,25,hombre,licenciatura,6,6,3
51,15,hombre,secundaria,0,3,1
52,50,hombre,maestria,14,0,10
53,63,hombre,secundaria,2,15,15
54,27,hombre,tecnica,5,16,3
55,18,hombre,bachillerato,2,5,0
56,24,hombre,licenciatura,3,5,0
57,19,hombre,licenciatura,7,0,2
58,22,hombre,licenciatura,2,4,0
59,25,hombre,licenciatura,3,1,0
60,21,hombre,licenciatura,5,2,1
61,28,hombre,licenciatura,3,1,0
62,22,hombre,licenciatura,2,0,0
63,23,hombre,licenciatura,6,0,0
64,23,hombre,bachillerato,3,1,0
65,23,hombre,bachillerato,3,4,10
